Comment Text,Cleaned Comment,Sentiment,preprocessing_comment
"Udah bingung sebingung bingungnya gw sama emyu. Winger gak ada yang berani nusuk, passing gak ada yang ada visi nya. Dikutuk apa ya emyu ini?",udah bingung sebingung bingungnya gw sama emyu winger gak ada yang berani nusuk passing gak ada yang ada visi nya dikutuk apa ya emyu ini,negatif,bingung bingung bingung gue emyu winger berani tusuk passing visi nya kutuk ya emyu
pendukung tenhag?,pendukung tenhag,negatif,dukung tenhag
"Butuh kesabaran dengan Amorim, transisi tidak mudah.",butuh kesabaran dengan amorim transisi tidak mudah,positif,butuh sabar amorim transisi mudah
Bang.. Please sadar diri Bang...,bang please sadar diri bang,negatif,bang please sadar bang
@andrefajarm skor nanti malam sepertinya draw..,skor nanti malam sepertinya draw,netral,skor malam draw
standup comedy ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã«Ã¨,standup comedy,positif,standup comedy
Suee kenapa lebih enak nonton Brighton maennya,suee kenapa lebih enak nonton brighton maennya,positif,suee enak tonton brighton maennya
"Strategi udah bagus, tapi finishing-nya parah! Buang peluang mulu!",strategi udah bagus tapi finishingnya parah buang peluang mulu,negatif,strategi bagus finishingnya parah buang peluang mulu
"Lawan mainnya solid banget sih, jadi wajar kalau kita kesulitan.",lawan mainnya solid banget sih jadi wajar kalau kita kesulitan,positif,lawan main solid banget sih wajar sulit
@mahadifqt menang lawan city di final juga hoki brrti yaa,menang lawan city di final juga hoki brrti yaa,positif,menang lawan city di final hoki brrti ya
Amorim lebih taktis dalam mengatur momentum pertandingan.,amorim lebih taktis dalam mengatur momentum pertandingan,positif,amorim taktis atur momentum tanding
"Lini depan bapuknya sudah gak ketolong, ditambah pemain sayap macam garnacho main banyak peluang harusnya di oper ke striker malah di shoot, giliran umpan ke striker miss terus. Belum lagi lini tengah nya minim kreasi, cuma ngandalin bruno, ketika bruno ga perform ancur",lini depan bapuknya sudah gak ketolong ditambah pemain sayap macam garnacho main banyak peluang harusnya di oper ke striker malah di shoot giliran umpan ke striker miss terus belum lagi lini tengah nya minim kreasi cuma ngandalin bruno ketika bruno ga perform ancur,negatif,lini bapuknya tolong ditambah main sayap garnacho main peluang di oper ke striker di shoot gilir umpan ke striker miss lini nya minim kreasi ngandalin bruno bruno perform hancur
Belom tentu... tergantung si ten hag,belom tentu tergantung si ten hag,negatif,gantung sih ten hag
nah berarti game plan nya jalan kan,nah berarti game plan nya jalan kan,positif,game plan nya jalan
"RÃºben Amorim sukses meningkatkan mentalitas tim, mereka lebih percaya diri di lapangan.",r ben amorim sukses meningkatkan mentalitas tim mereka lebih percaya diri di lapangan,positif,r ben amorim sukses tingkat mentalitas tim percaya di lapang
Sampe kapan emyu gini terus?,sampe kapan emyu gini terus,negatif,emyu
gg bayindir,gg bayindir,positif,bayindir
"Lini depan kita lebih hidup, tapi defense masih masalah besar. MU menang 2-1, tapi pertahanan harus diperbaiki cepat!",lini depan kita lebih hidup tapi defense masih masalah besar mu menang tapi pertahanan harus diperbaiki cepat,positif,lini hidup defense mu menang tahan diperbaiki cepat
"Kalau mental masih selemah ini, jangan harap bisa juara!",kalau mental masih selemah ini jangan harap bisa juara,negatif,mental lemah harap juara
Style penalty licha gila cool bet ï£¿Ã¼Ã®â¢,style penalty licha gila cool bet,positif,style penalty licha gila cool banget
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
@theobonaa performanya dorgu gimana tadi? Ngga liat dari awal ï£¿Ã¼Ã²Â¢,performanya dorgu gimana tadi ngga liat dari awal,positif,performa dorgu lihat
apalagi yg di shoot kenceng banget dari samping ketepis sama bayindir anjas gilaa tuh bocahh ï£¿Ã¼Ã²Ã§,apalagi yg di shoot kenceng banget dari samping ketepis sama bayindir anjas gilaa tuh bocahh,negatif,di shoot kencang banget samping tepis bayindir anjas gila tuh bocahh
kalo kasat mata offside tapi gapapa lah emyu sering di rugikan apalagi pas lawan Tottenham,kalo kasat mata offside tapi gapapa lah emyu sering di rugikan apalagi pas lawan tottenham,negatif,kalo kasat mata offside gapapa emyu di rugi pas lawan tottenham
70 % leister menang,leister menang,positif,leister menang
FA dan European league reality,fa dan european league reality,netral,fa european league reality
ada eriksen.. Lumayan penyegaran.. Dan bisa mainnumapan kedepan,ada eriksen lumayan penyegaran dan bisa mainnumapan kedepan,positif,eriksen lumayan segar mainnumapan kedepan
Antony tuker mudryk aja,antony tuker mudryk aja,netral,antony tuker mudryk
Mending chiesa lebih GG drpd sterling apalagi minyak sanco,mending chiesa lebih gg drpd sterling apalagi minyak sanco,positif,mending chiesa sterling minyak sanco
Tuker palmer kalo mau,tuker palmer kalo mau,netral,tuker palmer kalo
@gradwntra maksud dia pemain Brighton udah berada dibelakang bola semua,maksud dia pemain brighton udah berada dibelakang bola semua,netral,maksud main brighton dibelakang bola
"Ruben Amorim sudah mulai menunjukkan kualitasnya, meskipun hasil pertama imbang, saya yakin dia bisa membawa MU ke level yang lebih tinggi.",ruben amorim sudah mulai menunjukkan kualitasnya meskipun hasil pertama imbang saya yakin dia bisa membawa mu ke level yang lebih tinggi,positif,ruben amorim kualitas hasil imbang bawa mu ke level
@kelvjunios betul bro. Tegas pokok nya ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,betul bro tegas pokok nya,positif,bro pokok nya
Mainoo beban sih.,mainoo beban sih,netral,mainoo beban sih
"Ruben Amorim memperbaiki permainan tim, namun kami masih harus lebih tajam di depan gawang. Greenwood dan Rashford harus lebih banyak mencetak gol.",ruben amorim memperbaiki permainan tim namun kami masih harus lebih tajam di depan gawang greenwood dan rashford harus lebih banyak mencetak gol,netral,ruben amorim memperbaiki main tim tajam di gawang greenwood rashford cetak gol
Beberapa pemain masih kesulitan memahami sistem permainan baru.,beberapa pemain masih kesulitan memahami sistem permainan baru,netral,main sulit paham sistem main
nonton ane bang,nonton ane bang,positif,tonton ane bang
Tengah nya greenwoodï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,tengah nya greenwood,netral,nya greenwood
Amorim Master class babak kedua ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã®â¢,amorim master class babak kedua,netral,amorim master class babak
Kemungkinan memasukkan mactominay si botakï£¿Ã¼Ã²Ã ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã,kemungkinan memasukkan mactominay si botak,netral,masuk mactominay sih botak
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
Punya striker bagus malah dibuang,punya striker bagus malah dibuang,negatif,striker bagus buang
Ambil chihwel aja,ambil chihwel aja,netral,ambil chihwel
"Kapan lagi dapet 2 pemain, tapi kalo ke juve oke lah barter sama chiesa mah",kapan lagi dapet pemain tapi kalo ke juve oke lah barter sama chiesa mah,netral,main kalo ke juve oke barter chiesa mah
Eth kapan di pecat,eth kapan di pecat,netral,eth di pecat
Kesalahan MU terlalu buru buru ganti RVN,kesalahan mu terlalu buru buru ganti rvn,negatif,salah mu buru buru ganti rvn
"@erzet.q_malang Keep Calm bung.... yang Jelas , Ada Yang Kalah 5 - 1 , Tapi Bukan Manchester ASLI .",q_malang keep calm bung yang jelas ada yang kalah tapi bukan manchester asli,negatif,q malang keep calm kalah manchester asli
Yg gak main rutin aja cideraï£¿Ã¼Ã²Â¢ï£¿Ã¼Ã«Ã¨,yg gak main rutin aja cidera,negatif,main rutin cidera
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Mentalitas tim ini harus ditingkatkan, jangan sampai kalah lagi!",mentalitas tim ini harus ditingkatkan jangan sampai kalah lagi,negatif,mentalitas tim tingkat kalah
@septian_ariss WKWKKWKKWKWKWKWKWKWKWKKKWKWKWKWKWKWKKWKKWKWKWKWKKWKWKKKWKWKWKWKWKWKWKKWKKKWKWKW PAGI PAGI UDAH NGAKAK,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi udah ngakak,positif,wkwkkwkkwkwkwkwkwkwkwkwkwkwkwkwkwkkwkkwkwkwkwkkwkwkwkwkwkwkwkwkwkkwkwkwkw pagi pagi akak
"Taktik Amorim luar biasa! Serangan cepat dan efektif, ini sepak bola kelas dunia!",taktik amorim luar biasa serangan cepat dan efektif ini sepak bola kelas dunia,positif,taktik amorim serang cepat efektif sepak bola kelas dunia
Banyak pemain MU yang harus meningkatkan mentalitas mereka.,banyak pemain mu yang harus meningkatkan mentalitas mereka,netral,main mu tingkat mentalitas
"MU menang 3-1, tapi pertahanan harus lebih solid. Jangan sampai kesalahan di belakang merusak kemenangan kita.",mu menang tapi pertahanan harus lebih solid jangan sampai kesalahan di belakang merusak kemenangan kita,positif,mu menang tahan solid salah di rusak menang
"Kenapa tiap emyu cetak gol ,itu wasit var matanya langsung jeli.",kenapa tiap emyu cetak gol itu wasit var matanya langsung jeli,netral,emyu cetak gol wasit var mata langsung jeli
Tiap musim gini trus,tiap musim gini trus,netral,musim
"@kevin_beatrix ya jelas lah, performa aja jelek, dia bagus",ya jelas lah performa aja jelek dia bagus,negatif,ya performa jelek bagus
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
@mjr__official mode fun football aja gmana bang? ï£¿Ã¼Ã²Ã,mode fun football aja gmana bang,negatif,mode fun football bang
yaudah skrng sebutkan gunanya mctominay selain gol itu?,yaudah skrng sebutkan gunanya mctominay selain gol itu,netral,yaudah sebutkan gunanya mctominay gol
"MU harus segera cari bek tengah baru, terlalu mudah ditembus lawan.",mu harus segera cari bek tengah baru terlalu mudah ditembus lawan,negatif,mu cari bek mudah tembus lawan
Jadi inget dulu dia waktu pertama kali debut cocok nya jadi supersub coba aja dia jadiin supersub main nya pas babak ke 2,jadi inget dulu dia waktu pertama kali debut cocok nya jadi supersub coba aja dia jadiin supersub main nya pas babak ke,netral,kali debut cocok nya supersub coba jadikan supersub main nya pas babak ke
follback bang,follback bang,netral,follback bang
haha gitu rashy sama Anthony di loan tim lawak bener,haha gitu rashy sama anthony di loan tim lawak bener,negatif,haha rashy anthony di loan tim lawak
Sangat berharap MU bisa menang di pertandingan besar selanjutnya.,sangat berharap mu bisa menang di pertandingan besar selanjutnya,positif,harap mu menang di tanding
Mainoo beban sih.,mainoo beban sih,netral,mainoo beban sih
"@kevin_beatrix ya makanya, kan abang bilang sancho 90 bisa jual 30-40, ya karena performa dia jelek, kalau ugerte disamping kontrak masih panjang performa dia juga bagus. Makanya harga segitu",ya makanya kan abang bilang sancho bisa jual ya karena performa dia jelek kalau ugerte disamping kontrak masih panjang performa dia juga bagus makanya harga segitu,negatif,ya abang bilang sancho jual ya performa jelek ugerte samping kontrak performa bagus harga segitu
Jadwal main kapan? jam berapa,jadwal main kapan jam berapa,netral,jadwal main jam
"Bruno kadang terlalu egois, harusnya lebih banyak kasih assist daripada maksa tembak.",bruno kadang terlalu egois harusnya lebih banyak kasih assist daripada maksa tembak,negatif,bruno kadang egois kasih assist maksa tembak
"Serangan lebih variatif, tidak hanya mengandalkan sisi sayap.",serangan lebih variatif tidak hanya mengandalkan sisi sayap,positif,serang variatif andal sisi sayap
"Sebenernya offside kayanya si itu, cuma kalopun di anulir dan perpanjangan waktu gua tetep pede kalo mu bakal menang si. Karna keliatan menit menit akhir udah pada panas pemainnya.",sebenernya offside kayanya si itu cuma kalopun di anulir dan perpanjangan waktu gua tetep pede kalo mu bakal menang si karna keliatan menit menit akhir udah pada panas pemainnya,positif,offside kaya sih kalo di anulir perpanjangan gua percaya kalo mu menang sih menit menit panas main
@yusuf96eka ntah lah bingung wkwk,ntah lah bingung wkwk,negatif,bingung wkwk
Amorim lebih berani memberikan kesempatan pada pemain muda akademi United.,amorim lebih berani memberikan kesempatan pada pemain muda akademi united,netral,amorim berani kesempatan main muda akademi united
@dikasaputra___ hahaha siap si paling gak fomo.,hahaha siap si paling gak fomo,positif,hahaha sih fomo
@naufalrafif_r siap naufal,siap naufal,positif,naufal
"Di lapangan aja gak gerak apa"" .... ya pasti tetap fitlah ï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ãï£¿Ã¼Ã²Ã Onanananananaaï£¿Ã¼Ã²Ã",di lapangan aja gak gerak apa ya pasti tetap fitlah onanananananaa,positif,di lapang gerak ya fit onanananananaa
"Pergantian yg ga habis pikir menurut gua, bisa2 nya garna yg ditarik keluar",pergantian yg ga habis pikir menurut gua bisa nya garna yg ditarik keluar,negatif,ganti habis pikir gua nya garna tarik
@niam.dc00 dlm bersepak bola juga butuh pemain pembawa keberuntungan...dulu puzzle SAF adala ERIC CANTONA...nomer 7 nggak layak buat mount...kalau nggak suruh dia ganti no punggung,dc dlm bersepak bola juga butuh pemain pembawa keberuntungandulu puzzle saf adala eric cantonanomer nggak layak buat mountkalau nggak suruh dia ganti no punggung,positif,dc sepak bola butuh main bawa keberuntungandulu puzzle saf adala eric cantonanomer layak mountkalau suruh ganti no punggung
"gue gk nontoon, onana mainnya gmna yah ? kok kebobolan goal 1 gk bangeet ya cara antisipasinya",gue gk nontoon onana mainnya gmna yah kok kebobolan goal gk bangeet ya cara antisipasinya,negatif,gue nontoon onana main ya bobol goal banget ya antisipasi
the real karma+[instagram.csv]instagram!,the real karmainstagramcsvinstagram,netral,the real karmainstagramcsvinstagram
"@muhammadsaeful39 mungkin masih butuh alumni ajax yang belum kebeli, MU butuh itu kepingan paxel yang hilang",mungkin masih butuh alumni ajax yang belum kebeli mu butuh itu kepingan paxel yang hilang,negatif,butuh alumni ajax kebel mu butuh keping paxel hilang
"@warga.tambang_indonesia tapi emg ad pemain di tim ini yg harus dibuang, seperti Casemiro, Lindelof, Kiper baru, Rashford (kalau ada minat dan harga oke), sama butuh winger baru yg lebih oke masalahnya siapa yg ada kemungkinan y ?",tambang_indonesia tapi emg ad pemain di tim ini yg harus dibuang seperti casemiro lindelof kiper baru rashford kalau ada minat dan harga oke sama butuh winger baru yg lebih oke masalahnya siapa yg ada kemungkinan y,netral,tambang indonesia main di tim buang casemiro lindelof kiper rashford minat harga oke butuh winger oke ya
Zirkzee mulai mencair ï£¿Ã¼Ã®â¢ï£¿Ã¼Ã«Ã¨ï£¿Ã¼Ã«Ã¨,zirkzee mulai mencair,netral,zirkzee cair
"MU menang 4-0, tapi jangan lengah! Pertahanan kita masih bisa lebih solid, jangan kasih celah.",mu menang tapi jangan lengah pertahanan kita masih bisa lebih solid jangan kasih celah,positif,mu menang lengah tahan solid kasih celah
"Sebenernya offside kayanya si itu, cuma kalopun di anulir dan perpanjangan waktu gua tetep pede kalo mu bakal menang si. Karna keliatan menit menit akhir udah pada panas pemainnya. ï£¿Ã¼Ã®â¢",sebenernya offside kayanya si itu cuma kalopun di anulir dan perpanjangan waktu gua tetep pede kalo mu bakal menang si karna keliatan menit menit akhir udah pada panas pemainnya,positif,offside kaya sih kalo di anulir perpanjangan gua percaya kalo mu menang sih menit menit panas main
"Lawan kita memang lebih kuat, tapi harusnya kita bisa kasih perlawanan lebih baik.",lawan kita memang lebih kuat tapi harusnya kita bisa kasih perlawanan lebih baik,positif,lawan kuat kasih lawan
"Ruben Amorim sudah mulai membawa perubahan positif, meskipun kami hanya bermain imbang, saya melihat ada peningkatan dalam filosofi permainan.",ruben amorim sudah mulai membawa perubahan positif meskipun kami hanya bermain imbang saya melihat ada peningkatan dalam filosofi permainan,positif,ruben amorim bawa ubah positif main imbang tingkat filosofi main
"Ga masalah klo loan rashford + Anthony, tpi masalahnya ga datengin pemain baru buat backup, ini jelas salah manajemen",ga masalah klo loan rashford anthony tpi masalahnya ga datengin pemain baru buat backup ini jelas salah manajemen,negatif,kalo loan rashford anthony datengin main backup salah manajemen
Teorinya begitu cuma gk tau tuh rashford ada clausul apa gmana sih Rashford udh kayak pejabat gak bisa di ganggu gugat suka suk weh,teorinya begitu cuma gk tau tuh rashford ada clausul apa gmana sih rashford udh kayak pejabat gak bisa di ganggu gugat suka suk weh,positif,teori tau tuh rashford clausul sih rashford kayak jabat di ganggu gugat suka suka weh
Rashford OUT,rashford out,netral,rashford out
Beberapa pemain masih kesulitan memahami filosofi permainan Amorim.,beberapa pemain masih kesulitan memahami filosofi permainan amorim,netral,main sulit paham filosofi main amorim
@za.inal217 liga tani sepele bang,inal liga tani sepele bang,negatif,inal liga tani sepele bang
"Saya sedikit kecewa dengan hasil imbang, namun saya melihat peningkatan besar di lini pertahanan dan kreativitas dari Bruno Fernandes.",saya sedikit kecewa dengan hasil imbang namun saya melihat peningkatan besar di lini pertahanan dan kreativitas dari bruno fernandes,positif,kecewa hasil imbang tingkat di lini tahan kreativitas bruno fernandes
"Aturannya gimna sih, bukannya bola udh ngelewatin semua pemain lawan ga ada offside lagi ?",aturannya gimna sih bukannya bola udh ngelewatin semua pemain lawan ga ada offside lagi,negatif,atur sih bola ngelewatin main lawan offside
@agungmk_ nahh ini aku jg agak sadar ï£¿Ã¼Ã²Ã Onana GK main peluang menang LBH besar,nahh ini aku jg agak sadar onana gk main peluang menang lbh besar,positif,sadar onana main peluang menang
"Pemain harus lebih fokus, jangan sampai kehilangan konsentrasi!",pemain harus lebih fokus jangan sampai kehilangan konsentrasi,netral,main fokus hilang konsentrasi
"Skema serangan balik Amorim lebih efektif, pemain lebih cepat mengambil keputusan.",skema serangan balik amorim lebih efektif pemain lebih cepat mengambil keputusan,netral,skema serang amorim efektif main cepat ambil putus
Semakin baik permainan dari anak asuh amorim,semakin baik permainan dari anak asuh amorim,positif,main anak asuh amorim
Saya berharap Ruben Amorim bisa segera membawa kemenangan pertama. Hasil imbang ini menunjukkan bahwa masih ada banyak ruang untuk perbaikan.,saya berharap ruben amorim bisa segera membawa kemenangan pertama hasil imbang ini menunjukkan bahwa masih ada banyak ruang untuk perbaikan,positif,harap ruben amorim bawa menang hasil imbang ruang perbaikan
Mainoo beban sih.,mainoo beban sih,netral,mainoo beban sih
"Saya melihat banyak potensi di tim, meskipun hanya imbang. Ruben Amorim punya filosofi yang bisa membawa MU ke tingkat selanjutnya.",saya melihat banyak potensi di tim meskipun hanya imbang ruben amorim punya filosofi yang bisa membawa mu ke tingkat selanjutnya,positif,potensi di tim imbang ruben amorim filosofi bawa mu ke tingkat
"kecuali,  gw berharap nya musim depan dijual onana.  cari kiper baru yang mumpuni ï£¿Ã¼Ã²Ã",kecuali gw berharap nya musim depan dijual onana cari kiper baru yang mumpuni,positif,kecuali gue harap nya musim jual onana cari kiper mumpuni
Mana nih Gnev yang bilang bahwa RASHFORD harus jadi pemain dengan gaji tertinggi diklub karena modal akamsi dan main bagus semusim???,mana nih gnev yang bilang bahwa rashford harus jadi pemain dengan gaji tertinggi diklub karena modal akamsi dan main bagus semusim,positif,nih gnev bilang rashford main gaji tertinggi klub modal akamsi main bagus musim
"Emng berani eth cadangin rasi walaupun lgi angin""an kyknya ngga",emng berani eth cadangin rasi walaupun lgi anginan kyknya ngga,positif,berani eth cadangin rasi angin kayak
@rvnnn.99 tuh liat tangan nutupin muka bro di kek kita manusia klo bola di depan mata dia reflek lah nutupin biar ga kenak muka liat foto yg atas posisi tangannya nutupin muka,tuh liat tangan nutupin muka bro di kek kita manusia klo bola di depan mata dia reflek lah nutupin biar ga kenak muka liat foto yg atas posisi tangannya nutupin muka,negatif,tuh lihat tangan tutup muka bro di kayak manusia kalo bola di mata reflek tutup biar nak muka lihat foto posisi tangan tutup muka
"Saya optimis dengan perubahan yang dibawa Ruben Amorim, meskipun hasil imbang, saya merasa MU bisa lebih baik di pertandingan berikutnya.",saya optimis dengan perubahan yang dibawa ruben amorim meskipun hasil imbang saya merasa mu bisa lebih baik di pertandingan berikutnya,positif,optimis ubah bawa ruben amorim hasil imbang mu di tanding
"@rzkyaph dia niatnya mau ngindar bola, mau berdiri itu. dia juga asalnya mau ngambil bola dari bruno tapi ga nyampe alhasil gitu bang. uncluky banget",dia niatnya mau ngindar bola mau berdiri itu dia juga asalnya mau ngambil bola dari bruno tapi ga nyampe alhasil gitu bang uncluky banget,positif,niat ngindar bola berdiri asalnya ngambil bola bruno alhasil bang uncluky banget
"Ternyata belum berubah, padahal liverpool baru ganti pelatih",ternyata belum berubah padahal liverpool baru ganti pelatih,netral,ubah liverpool ganti latih
"@theobonaa Dorgu tu type pemain Versatile, sama kayak Marcos Llorente & Rodrigo De Paul di ATM, bisa main di beberapa posisi. Klo lu main efootball pasti tau",dorgu tu type pemain versatile sama kayak marcos llorente rodrigo de paul di atm bisa main di beberapa posisi klo lu main efootball pasti tau,netral,dorgu type main versatile kayak marcos llorente rodrigo deh paul di atm main di posisi kalo lu main efootball tau
"Menyesal Ten Hag dipecat, setidaknya dia punya visi yang jelas.",menyesal ten hag dipecat setidaknya dia punya visi yang jelas,negatif,sesal ten hag pecat visi
Loh kok main ya tadi pagi,loh kok main ya tadi pagi,negatif,loh main ya pagi
Bruno: pertahankan standart kita,bruno pertahankan standart kita,netral,bruno tahan standart
"Semua fans berharap seperti itu min, tapi kenapa pak bupati ini selalu main ï£¿Ã¼Ã²â",semua fans berharap seperti itu min tapi kenapa pak bupati ini selalu main,positif,fan harap min bupati main
@bobbymulyana307 siapa yg baru maen di epl bagus?,siapa yg baru maen di epl bagus,positif,main di epl bagus
"@rezadisap wajar ngab, orang gak pernah dikasih menit bermain yang layakï£¿Ã¼Ã²Ã, beda dengan Onani,, starter terus, planga-plongo iyaa ï£¿Ã¼Ã²Ã. Logikanya gini, ente sering main PS bola lawan orang yang jarang maen PS bola bakal menang mana?",wajar ngab orang gak pernah dikasih menit bermain yang layak beda dengan onani starter terus plangaplongo iyaa logikanya gini ente sering main ps bola lawan orang yang jarang maen ps bola bakal menang mana,positif,wajar ngab orang kasih menit main layak beda onani starter plangaplongo iya logika ente main pas bola lawan orang jarang main pas bola menang
"stok pelatih top minim di Eropa skrg, ya semoga aja ETH bisa nemu pakem yg pas setelah kekalahan kemarin.. Harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera.",stok pelatih top minim di eropa skrg ya semoga aja eth bisa nemu pakem yg pas setelah kekalahan kemarin harusnya udah gak coba lagi sih terlebih cuma beberapa pemain aja yg cedera,negatif,stok latih top minim di eropa ya moga eth nemu pakem pas kalah kemarin coba sih main cedera
Bayindir ama Heaton dijajanin apa si sama onana ini. Dahlah pasrah aja wkwk,bayindir ama heaton dijajanin apa si sama onana ini dahlah pasrah aja wkwk,negatif,bayindir heaton dijajanin sih onana dah pasrah wkwk
Udah dari musim kemarin perform rashford ini turun bgt.....cuma mungkin karena pemain lokal yg harus di utamain jadi Ten hag juga gak bisa nolak buat gak mainin Dy kayanya,udah dari musim kemarin perform rashford ini turun bgtcuma mungkin karena pemain lokal yg harus di utamain jadi ten hag juga gak bisa nolak buat gak mainin dy kayanya,positif,musim kemarin perform rashford turun bgtcuma main lokal di utamain ten hag nolak mainin kaya
"Ruben Amorim sudah mulai menunjukkan kualitasnya, meskipun hasil pertama imbang, saya yakin dia bisa membawa MU ke level yang lebih tinggi.",ruben amorim sudah mulai menunjukkan kualitasnya meskipun hasil pertama imbang saya yakin dia bisa membawa mu ke level yang lebih tinggi,positif,ruben amorim kualitas hasil imbang bawa mu ke level
"Serangan lebih variatif, tidak hanya mengandalkan sisi sayap.",serangan lebih variatif tidak hanya mengandalkan sisi sayap,positif,serang variatif andal sisi sayap
Harusnya gitu contohlah paduka maguire di puji tidak terbang di acaci tidak tumbang jangan kek Sancho apa lagi Mariadi ï£¿Ã¼Ã³Ã¸,harusnya gitu contohlah paduka maguire di puji tidak terbang di acaci tidak tumbang jangan kek sancho apa lagi mariadi,negatif,contoh paduka maguire di puji terbang di acaci tumbang kayak sancho mariadi
Kiper reflek busuk anj ï£¿Ã¼Ã²Ã¥,kiper reflek busuk anj,negatif,kiper reflek busuk anjing
"Lini depan kita jauh lebih hidup, tapi defense kita masih rapuh. Harus lebih solid lagi di belakang.",lini depan kita jauh lebih hidup tapi defense kita masih rapuh harus lebih solid lagi di belakang,negatif,lini hidup defense rapuh solid di
"offside, pemain MU banyak yang dibelakang pemain Leicester. Termasuk Maguire. Berhubung gaada var dianggap gol sama wasit",offside pemain mu banyak yang dibelakang pemain leicester termasuk maguire berhubung gaada var dianggap gol sama wasit,positif,offside main mu dibelakang main leicester maguire hubung var anggap gol wasit
"Hasil imbang di laga pertama ini sedikit mengecewakan, namun saya bisa melihat ada perbaikan dalam struktur permainan tim.",hasil imbang di laga pertama ini sedikit mengecewakan namun saya bisa melihat ada perbaikan dalam struktur permainan tim,negatif,hasil imbang di laga kecewa perbaikan struktur main tim
Amorim masakannya makin enak ï£¿Ã¼Ã²Ã§ï£¿Ã¼Ã²Ã§ï£¿Ã¼Ã²Ã§,amorim masakannya makin enak,positif,amorim masakan enak
"Udah 12 vs 10, dikasih gift penalty, masih aja kaga menangï£¿Ã¼Ã²Ã",udah vs dikasih gift penalty masih aja kaga menang,positif,vs kasih gift penalty kagak menang
